Product_name,Quantity,Category,Subcategory,Subcategory2,Subcategory3,
Orbit Sugar Free Spearmint Gum 14pc.,146,Food,Snack,Gum,All,
Advil Tablet,145,Medicine,Medicine,,All,
Tylenol Extra Strength,144,Medicine,Medicine,,All,
stickers,144,Home Decor,Sticker,,All,
Zero Lemon -Vitamin Water,144,Beverage,Vitamin Water,,All,
gatorade,144,Beverage,Sports Drink,,All,
Tropical Sunrise Mix,143,Food,Snack,Nuts,All,
Emp Casndy,143,Food,Snack,Candy,All,
Reeses 2 Peanut Butter Cups,143,Food,Snack,Candy,All,
Kates - WHITE CHOCOLATE MACADAMIA Bar 2.2oz,142,Food,Snack,Bar,All,
Vitamin Water - Rise,141,Beverage,Vitamin Water,,All,
SuckerPunch Gourmet Bread & Butter Pickle Chips,141,Food,Snack,Pickle,All,
Gatorade - Thirst Quencher - Lemon Lime 20oz.,140,Beverage,Sports Drink,,All,
Sun Chips - French Onion 1.5oz.,140,Food,Snack,Chips,All,
Nutella & Go - Hazelnut Spread and Breadsticks,139,Food,Snack,Syrup,All,
Grandmas - Oatmeal Raisin Cookies 2.5oz.,139,Food,Snack,Cookie,All,
Peppered Beef Jerky - Wyoming Gourmet,139,Food,Snack,Beef,All,
GoGo SqueeZ Applesauce Strawberry 3.2oz.,138,Food,Fruit,,All,
Grandmas Chocolate Chip Cookie,138,Food,Snack,Cookie,All,
Fiji Water,137,Beverage,Water,,All,
Dots Homestyle Pretzels - Honey Mustard 2.5oz,137,Food,Snack,Pretzels,All,
Cookies & Cream Ice Cream,137,Food,Desert,Ice cream,All,
Grand Teton Animal Cookies,137,Food,Snack,Cookie,All,
Gatorade - Thirst Quencher - Fruit Punch 20oz,137,Beverage,Sports Drink,,All,
Grandmas - Peanut Butter Cookies 2.5oz.,136,Food,Snack,Cookie,All,
Halls - Cherry 9drops,135,Medicine,Medicine,Cough drops,All,
Jedediahs - Chicken Quesadilla,134,Food,Quesadilla,Chicken,Lunch/Dinner,
Minute Maid Lemonade,134,Beverage,Juice,,All,
Roseli Mozzarella String Cheese 1oz.,134,Food,Snack,Cheese,All,
f,133,,,,,
Keebler Mini Fudge Stripe Cookie 2oz.,133,Food,Snack,Cookie,All,
Dots Homestyle Pretzels - Honey Mustard 2.5oz,133,Food,Snack,Pretzels,All,
Southwest Chicken Salad Wrap,133,Food,Wrap,Chicken,Lunch/Dinner,
t,132,,,,,
Jackson Hole Wild Huckleberry Syrup 10 oz.,132,Food,Snack,Syrup,All,
Topo Chico Sparkling Mineral Water 20 oz.,131,Beverage,Sparkling Water,,All,
Starburst Original,128,Food,Snack,Candy,All,
Americano 12oz - ICED,128,Beverage,Cold Coffee,,All,
3 Musketeers Bar,127,Food,Snack,Candy,All,
g,126,,,,,
Lays Barbecue,126,Food,Snack,Chips,All,
Egg salad everything on Bagel,126,Food,Sandwich,Egg,All,
Vitamin Water - Refresh,126,Beverage,Vitamin Water,,All,
Orbit Sugar Free Wintermint Gum 14pc.,125,Food,Snack,Gum,All,
Red Bull Sugar-Free Energy Drink 12 fl. oz.,125,Beverage,Energy Drink,,All,
Mursells Sweet Shop Jackson Hole,124,Food,Snack,Candy,All,
magnet,123,Home Decor,Magnet,,All,
popcorn,122,Food,Snack,Popcorn,All,
Body Armor Lyte -Orange Clementine,122,Beverage,Sports Drink,,All,
Sun Chips No artificial Flavors Garden Salsa,121,Food,Snack,Chips,All,
Cortado 12oz - HOT,121,Beverage,Coffee,,All,
Tums - Fruit Extra Strength750 8chewable tablets,120,Medicine,Medicine,,All,
All Greens - Made with Almond Milk,120,Beverage,Smoothie,,All,
Werthers Original Caramel Hard Candies-12ct roll,118,Food,Snack,Candy,All,
Lindt Lindor Truffles Dark Chocolate,118,Food,Snack,Dark Chocolate,All,
Devonshire Premium Belgian Chocolate Chip Waffle w,118,Food,Snack,Waffle,All,
Venison Jerky Bag,117,Food,Snack,Protien,All,
b,116,,,,,
Latte 16oz - ICED,115,Beverage,Cold Coffee,,All,
BUBBLR Twisted Elixr Antioxidant Sparkling Water,115,Beverage,Sparkling Water,,All,
Sunset Trail Mix,114,Food,Snack,Nuts,All,
Chefs Line Iced Pumpkin Swirl Loaf Cake,113,Food,Desert,Cake,All,
Dramamine Tablets 1 Dose 2 Tablets Single-pack,113,Medicine,Medicine,Motion Sickness,All,
Blueberry,112,,,,,
Chefs Line - Chocolate Banana Swirl Cake 4oz,112,Food,Desert,Cake,All,
Americano 16oz - ICED,112,Beverage,Cold Coffee,,All,
salad,111,Food,Salad,,Lunch/Dinner,
Chex Mix Bagel Chips,111,Food,Snack,Chips,All,
tea,111,Beverage,Tea,,All,
Cowboy Beef Bites,110,Food,Snack,Beef,All,
Dunkin Donuts - Original,110,Beverage,Coffee,,All,
Vitamin Water - Revive,110,Beverage,Vitamin Water,,All,
emp,110,,,,,
bar,110,,,,,
Planters Nuts & Chocolate Trail Mix,110,Food,Snack,,All,
Orbit Sugar Free Peppermint Gum 14pc.,109,Beverage,,Halthy,All,
Powerade - Grape,109,Beverage,Sports Drink,,All,
jerky,109,Food,Snack,,All,
Gatorade Frost Thirst Quencher - Frost Glacier Che,109,Beverage,Sports Drink,,All,
Dunkin Donuts - Mocha,108,Beverage,Coffee,,All,
Moodibars - chill,108,Food,Snack,,All,
Twizzlers,107,Food,Snack,Candy,All,
Welchs Apple Juice 10oz.,106,Food,Juice,Healthy,All,
Suckerpunch Gourmet Fiery Hot 3-Pepper Pickle Chip,106,Food,Condiments,Pickle,All,
Chocolate Brownie,106,Food,Desert,Brownie,All,
Jelly Belly - 20 Assorted Flavors 3.5oz. Bag,106,Food,Snack,Candy,All,
Gatorade Frost Thirst Quencher - Frost Glacier Fre,106,Beverage,Sports Drink,,All,
Orbit Sugar Free Peppermint Gum 14pc.,105,Food,Snack,Healthy,All,
Naked Juice - Mighty Mango,105,Beverage,Juice,,All,
shirt,104,Cloths,Shirt,,All,
Pure Leaf Unsweetened Iced Tea (16.9 oz),104,Beverage,Tea,Healthy,,
Fig Newtons,103,Food,Snack,,All,
Dunkin’ French Vanilla,103,Beverage,Coffee,,ALL,
Huckleberry Syrup,102,Food,,,Breakfast,
Naked Juice - Berry Blast,102,Beverage,Juice,,All,
Sour Jacks Sandwich,102,Food,Sandwich,,Breakfast,
Jelly Belly Sugar-Free Sours,102,Food,Jelly,Healthy,All,
Naked Juice - Red Machine,101,Beverage,Juice,,All,
Sprite Zero Sugar,101,Beverage,Sprite,Healthy,,
Chefs Line Salted Caramel Chocolate Brownie,101,Food,Desert,,All,
Blue Pomegranate - AHA,101,Beverage,,,All,
m,100,,,,,
Miss Vickies - Kettle Jalapeno 1.375oz.,100,Food,Snack,,All,
Antioxidant Mix,100,Food,Fruit,Healthy,Breakfast/Lunch,
Blueberry Muffin,100,Food,Desert,,All,
Cheez Its,99,Food,Snack,Buiscuit,All,
Grandmas Cookie - Chocolate Chip 2.5oz,98,Food,Snack,Cookie,All,
Jedediah’s Charcuterieq,98,,,,,
Starbursts Original 2.67 oz. Stick Package,98,Food,Snack,Candy,All,
Bugles Original,98,Food,Snack,Chips,All,
Wonderful Pistachios No Shells Honey Roasted 0.75o,97,Food,Snack,Healthy,All,
`,97,,,,,
Huckleberry Taffy 8oz.,97,Food,Snack,Toffy,All,
Volpi Roltini Singles w/mozzarella & Uncurred Pepp,97,Food,Snack,Healthy,All,
Hot Chocolate 12oz,96,Beverage,Desert,,All,
Pure Leaf Real Brewed Tea Sweet Tea,96,Beverage,Tea,Healthy,All,
banana,96,Food,Fruit,Healthy,Breakfast,
Fairlife Core Power - Chocolate,95,Beverage,Energy Drink,,All,
Orbit Sugar Free Sweet Mint Gum 14pc.,95,Food,Snack,Healthy,All,
gummies,95,Food,Snack,Gummy,All,
Hersheys Special Dark,95,Food,Snack,Chocolate,All,
Jedediahs Club on Ciabatta,95,Food,Sandwich,,Lunch/Dinner,
turkey,94,Food,Meal,,Lunch/Dinner,
Kind Bar Peanut Butter Dark Chocolate 1.4oz.,94,Food,Snack,,All,
gator,93,,,,,
Silk - Almond Milk - Dark Chocolate 8 oz.,93,Beverage,,Healthy,All,
Huckleberry ProLive Bar,93,Food,Snack,Healthy,All,
Wonderful Pistachios No Shells Chili Roasted 0.75o,93,Food,Snack,,All,
Jedediahs Just Because - Monster Cookie,92,Food,Snack,Cookie,All,
Chefs Line Cinnamon Coffee Cake,92,Food,Desert,Cake,All,
Cliff Bar Crunchy Peanut Butter,92,Food,Snack,,All,
Moisterizer Chapstick Blister Card,91,Personal Care,Lip bam,,All,
Glaceau Vitamin Water Energy Tropical Citrus 20oz,91,Beverage,Juice,Healthy,All,
Jelly Belly - Sours 3.5oz. Bag,91,Food,Jelly,,All,
Chef Salad,91,Food,Salad,Special,Lunch/Dinner,
Jackson Hole Wild Huckleberry Honey,90,Food,Honey,,All,
Original Pringles,88,Food,Snack,Chips,All,
Powerade Fruit Punch - 8 Pack Bottles,88,Beverage,Drink,,All,
Candy Club - Blush Bears,87,Food,Snack,Desert,,
Wishpet small,86,Toys,,,All,
Gatorade Frost Thirst Quencher - Frost Arctic Blit,85,Beverage,Energy Drink,,All,
Monster Energy - Ultra Violet,85,Beverage,Energy Drink,,All,
danish,84,Food,Pastry,,Breakfast,
Chocolate Ice Cream,84,Food,Desert,Ice Cream,All,
Moodibars - grumpy,84,Food,Snack,,All,
Winter Citrus Immunity Blend,84,Beverage,Juice,Healthy,All,
Emp Crackers,84,Food,Snack,,All,
choc,84,,,,,
espresso,83,,,,,
cookies,83,,,,,
pastry,83,Food,Pastry,,Breakfast,
Newspaper,83,Medicine,Magazine,,All,
Jackson Hole Chip Company - Jalapeno Cheddar 3.8oz,82,Food,Snack,Chips,All,
Gold Peak - Green Tea,82,Beverage,Tea,Healthy,,
Proud Source Spring Water,82,Beverage,Water,,,
Emp Smart Water,82,Beverage,Water,,,
Mylk Labs Granny Smith Apple & Sunflower Cinnamon,82,Food,Snack,Nuts,All,
Cliff Bar Cool Mint Chocolate,81,Food,Snack,Nuts,All,
M&M - M&Ms Milk Chocolate Candies - Mars Chocolat,81,Food,Snack,Candy,All,
Jelly Belly - Kids Mix 3.5oz. Bag,81,Food,Snack,Candy,All,
yogurt,81,Food,Yogurt,,All,
Fig Newton,81,Food,Snack,Cookie,All,
Red Bull,81,Beverage,Energy Drink,,All,
good2grow 100% Fruit Punch,80,Beverage,Kids Drink,,All,
Monster Energy Ultra Blue,80,Beverage,Energy Drink,Healthy,All,
Holly Sage - Magnet,80,Home Decor,Magnet,,,
Super Coffee Caramel Latte,80,Beverage,Coffee,,All,
Chex Mix - Bold Party Blend,80,Food,Snack,,All,
Monster Energy - Ultra Sunrise 16oz.,80,Beverage,Energy Drink,,All,
Ricola Original,80,Medicine,Cough,Herbal,All,
Monster Energy - Zero Ultra 16 oz. Can,80,Beverage,Energy Drink,,All,
US Weekly Magazine 10 Sep 2018 Meghan Markle and Q,79,Medicine,Magazine,,All,
Emp Choc C Cookie,79,Food,Snack,Cookie,All,
Moodibars - hopeful,79,Food,Snack,Chocolate,All,
Holly Sage - Sticker,79,Home Decor,Sticker,,All,
Jackson Hole Wild Huckleberry Chocolate Bar,78,Food,Snack,Chocolate,All,
Devonshire Premium Belgian Chocolate Chip Waffle,78,Food,Snack,Waffle,Breakfast,
Honest Half Tea & Half Lemonade,78,Beverage,Tea,,All,
Nutella & Go,78,Food,Snack,Nuts & Butter,All,
hat,77,Cloths,Apparel,Hat,All,
Nutella & Go 1.8oz.,77,Food,Snack,Nuts & Butter,o,
Planters - Trail Mix Nut & Chocolate 1.7oz.,77,Food,Snack,Nuts & Chocolate,All,
Vita Coco Coconut Water 11.1oz,77,Beverage,Coconut Water,,All,
Fruit Bliss - Apricots 5oz.,76,Food,Snack,Dried Fruit,All,
Emp Coffee\Fountain,76,Beverage,Coffee,,All,
DAK Bar - bear,76,Food,Snack,Energy Bar,o,
Salted Caramel Ice Cream,75,Food,Desert,Ice Cream,All,
chip,75,Food,Snack,Chips,All,
Purple Power - Made with Almond Milk,75,Beverage,Smoothie,,All,
Orbit Gum - Sweet Mint,74,Food,Snack,Gum,All,
Naked Juice - Red Machine 15.2 oz.,74,Beverage,Juice,,All,
Jedediahs Just Because - Sourdough Chocolate Chip,74,Food,Snack,Cookie,All,
Jackson Hole Chip Company - Truffle Butter 3.8oz,73,Food,Snack,Chips,All,
Acid Relief,73,Medicine,Medicine,Antacid,All,
Chai Latte 16oz - ICED,73,Beverage,Coffee,,All,
dasani,73,Beverage,Water,,All,
Cherry Ginger Ale - 16oz,73,Beverage,Soft Drink,,All,
Bear Claw,73,Food,Desert,Pastries,All,
Natures Bakery Fig Bar - Raspberry 2oz.,72,Food,Snack,Bar,All,
Moodibars - excited,72,Food,Snack,Energy Bar,All,
Snickers- Candy Bar 1.86oz.,72,Food,Snack,Candy,All,
Otis Spunkmeyer Wild Blueberry Muffin 4oz.,71,Food,Snack,Muffin,All,
Purell Advanced Hand Sanitizer - 1oz,71,Medicine,Hand Sanitizer,Healthy,All,
Pop Corners - Kettle Corn,71,Food,Snack,Popcorn,All,
NGM Sticker,70,Home Decor,Sticker,,All,
muff,70,o,o,o,o,
Lindt Lindor Milk Chocolate,70,Food,Snack,Chocolate,All,
Kind Bar Cranberry Almond,69,Food,Snack,Energy Bar,All,
Planters Cashews,69,Food,Snack,Nuts,All,
Barqs Rootbeer,69,Beverage,Soft Drink,,All,
Lindt Lindor White Chocolate,69,Food,Snack,Chocolate,All,
Cream + Sugar Mini Ice Cream Cups - Mint Chocolate,68,Food,Desert,Ice Cream,All,
Pop-Tarts Frosted Strawberry 3.3oz,68,Food,Snack,Pastries,All,
Jelly Belly - Soda Pop Shoppe 3.5oz. Bag,68,Food,Snack,Candy,All,
$,68,o,o,o,o,
Jackson Hole Chip Company - Salt & Vinegar,68,Food,Snack,Chips,All,
Cereal Cup - Cinnamon Toast Crunch,67,Food,Snack,Cereal,All,
cupcake,67,Food,Desert,Cake,All,
Corn Nuts - Original,67,Food,Snack,Corn & Nuts,All,
Graham Crackers,67,Food,Snack,Crackers,All,
Oh Snap! Dilly Bites 3.25oz,67,Food,Snack,Pickle,All,
Jedediahs Just Because - Gummy Grizzlies (9 oz),66,Food,Snack,Candy,All,
Red Bull Sugar Free,66,Beverage,Energy Drink,,All,
Macchiato 12oz - HOT,66,Beverage,Coffee,,All,
SkinnyPop - White Cheddar Popcorn 0.5oz.,65,Food,Snack,Popcorn,All,
Corn Nuts - Chile Picante,65,Food,Snack,Corn & Nuts,All,
Turtles - Original Pecan,65,Food,Snack,Candy,All,
Mint Chocolate Chip Ice Cream,65,Food,Desert,Ice Cream,All,
Kates Real Foods - Oatmeal Cranberry & Almond,65,Food,Snack,Energy Bar,All,
M&M Peanut,65,Food,Snack,Candy,All,
Chai Latte 12oz - ICED,65,Beverage,Tea,,All,
Moody Bars - Whatever - Dark Chocolate Sea Salt 1.,65,Food,Snack,Chocolate,All,
Jackson Hole Chip Company - BBQ 3.8oz,65,Food,Snack,Chips,All,
Silk Almond - Vanilla,65,Beverage,Milk,,All,
Cereal Cup - Lucky Charms,64,Food,Snack,Cereal,Breakfast,
Moody Bars - Cool - Dark Chocolate Mint Cream Fill,64,Food,Snack,Chocolate,All,
Ritz Handi Snacks,64,Food,Snack,Crackers,All,
Hersheys Milk Chocolate with Almonds Bar 1.45oz,64,Food,Snack,Chocolate,All,
Oreos- 6 Count,64,Food,Snack,Cookie,All,
sm sticker,64,Home Decor,Sticker,,All,
Jelly Belly - Smoothie Blend 3.5oz. Bag,64,Food,Snack,Candy,All,
Orbit Gum - Spearmint,64,Food,Snack,Gum,All,
Southwest Chicken Wrap,64,Food,Wrap,Chicken,Lunch/Dinner,
Naked Juice - Blast Berry 15.2oz.,63,Beverage,Juice,,All,
Moodibars - winner,63,Food,Snack,Energy Bar,All,
Waldorf Chicken Salad Sandwiches,63,Food,Sandwich,Chicken,Lunch,
Peach Mango -Body Armour,63,Beverage,Sports Drink,,All,
Smart Water 23.7 fl oz (Pack of 6),62,Beverage,Water,,All,
Chex Mix - Traditional,62,Food,Snack,,All,
Hammonds - Mouth Watering Bite Sized Sour Chews 7,62,Food,Snack,Candy,All,
Moodibars - happy,62,Food,Snack,Energy Bar,All,
Advil Ibuprofen Tablets Single Dose Individual Pac,62,Medicine,Medicine,Pain Relief,All,
Ranch - Corn Nuts 1.7 oz,62,Food,Snack,Corn & Nuts,All,
Body Armor - Fruit Punch,62,Beverage,Sports Drink,,All,
Huckleberry Mix,62,Food,Snack,,All,
Dayquil Severe,62,Medicine,Medicine,Cold Medicine,All,
Orbit Gum - Wintermint,61,Food,Snack,Gum,All,
Pop-Tarts Frosted Cherry 3.3oz.,61,Food,Snack,Pastries,All,
Bacon and Egg Sandwich,61,Food,Sandwich,,Breakfast/Lunch,
Advil Tablets,61,Medicine,Medicine,Pain Relief,All,
Strawberry Pineapple,61,Beverage,Juice,,All,
Miss Vickies - Kettle Simple Sea Salt 1.375oz.,61,Food,Snack,Chips,All,
Moodibars - love,61,Food,Snack,Energy Bar,All,
Kind Bar Caramel Almond & Sea Salt,61,Food,Snack,Energy Bar,All,
Pop Tarts Brown Sugar and Cinnamon,60,Food,Snack,Pastries,Breakfast,
Fruit Bliss Tart Cherries,60,Food,Snack,Dried Fruit,All,
Sub Club,60,Food,Sandwich,,Lunch,
Mylk Labs Cultivated Blueberry & Vermont Maple,60,Food,Snack,,Breakfast,
Otis Spunkmeyer Banana Nut Muffin 4oz.,60,Food,Snack,Muffin,Breakfast,
The Chewy Fruit,60,Food,Snack,Dried Fruit,All,
Cherry Chapstick Blister Card,59,Personal Care,Lip Balm,,All,
nutella,59,Food,Snack,,All,
Moodibars - silly,59,Food,Snack,Energy Bar,All,
Jackson Hole Chip Company - Sea Salt 3.8oz,59,Food,Snack,Chips,All,
Nutella & Go 1.8oz,59,Food,Snack,Chocolate,All,
Pop-Tarts Frosted Blueberry 3.3oz,59,Food,Snack,Pastries,All,
Zantac 360,58,Medicine,Medicine,Antacid,All,
Pans Mushroom Jerky Teriyaki,58,Food,Snack,Mushroom Jerky,All,
Listerine Pocketpacks,58,Medicine,Oral-Care,,All,
Tylenol Cold & Flu -Sundries,58,Medicine,Medicine,Cold & Flu,All,
Excedrin,58,Medicine,Medicine,Pain Relief,All,
DayQuil -Sundries,58,Medicine,Medicine,Cold Medicine,All,
Moody Bar - Blah - Milk Chocolate Caramel Filled 1,57,Food,Snack,Energy Bar,All,
Prime Aid Stomach Relief,57,Medicine,Medicine,Stomach Relief,All,
Lime Watermelon - AHA,57,Beverage,Flavoured Water,,All,
monster,57,Beverage,Energy Drink,,All,
jam,57,Food,Condiment,Jam,All,
snacks,56,Food,Snack,,All,
Tums Extra Strength 750,56,Medicine,Medicine,Antacid,All,
Miss Vickies - Kettle BBQ Smokehouse 1.375oz.,56,Food,Snack,Chips,All,
card,56,Home Decor,Card,,All,
gum,56,Food,Snack,Gum,All,
hi ball Wild Berry,56,Beverage,Sparkling Water,,All,
Monster Energy - Ultra Paradise,56,Beverage,Energy Drink,,All,
Fairlife Core Power - Vanilla,56,Beverage,Protein Drink,,All,
Claritin,56,Medicine,Medicine,Allergy Relief,All,
Natures Garden Omega-3 Deluxe Mix 1.2oz.,56,Food,Snack,,All,
KitKat Dark,56,Food,Snack,Dark Chocolate,All,
Mounds Bar,56,Food,Snack,Candy,All,
Body Armor Lyte - Strawberry Lemonade,55,Beverage,Sports Drink,,All,
#,55,,,,,
Extra Strength Tylenol,55,Medicine,Medicine,Pain Relief,All,
Kind Protein Bar Crunchy Peanut Butter,55,Food,Snack,Bar,All,
magazine,55,Reading,Magazine,,All,
Grandmas Mini Sandwich Cremes Vanilla Cookies,55,Food,Snack,Cookie,All,
Planters Honey Roasted Peanuts,55,Food,Snack,Nuts,All,
TGT - MAGNET,55,Home Decor,Magnet,,All,
Miss Vickies - Kettle Sea Salt & Vinegar 1.375oz.,54,Food,Snack,Chips,All,
Humble Brew - Regulation,54,Beverage,Coffee,,All,
Humble Brew - Cinnamon,54,Beverage,Coffee,,All,
Macchiato 16oz - HOT,54,Beverage,Coffee,,All,
Grandmas Chocolate Brownie,54,Food,Desert,Brownie,All,
Natures Garden Cranberry Health Mix 1.2oz.,54,Food,Snack,,All,
fiji,54,Beverage,Water,,All,
Rind Straw-Peary,54,Food,Snack,Dried Fruit,All,
Chex Muddy Buddies PB and Chocolate,54,Food,Snack,Chocolate,All,
Heart Healthy Trail Mix,53,Food,Snack,Healthy,All,
Awake Caffeinated Chocolate Energy Bites (Milk Cho,53,Food,Snack,Chocolate,All,
LifeSavers - 5 Flavors 1.14 oz.,53,Food,Snack,Candy,All,
Second Nature Wholesome Medley,53,Food,Snack,,All,
Hersheys Milk Chocolate Bar 1.55oz.,53,Food,Snack,Chocolate,All,
Ham Breakfast Sandwich,53,Food,Sandwich,Ham,Breakfast,
Pans Mushroom Jerky - Zesty Thai 2.2oz.,53,Food,Snack,Jerky,All,
Swoffle - Dark Chocolate,52,Food,Snack,Dark Chocolate,All,
Proud Source Spring Water Sparkling,52,Beverage,Sparkling Water,,All,